date,price
3/1/2023,349.663048
3/2/2023,353.257897
3/3/2023,356.768724
3/4/2023,0
3/5/2023,0
3/6/2023,354.123615
3/7/2023,353.849039
3/8/2023,360.237079
3/9/2023,359.200303
3/10/2023,362.41262
3/11/2023,0
3/12/2023,0
3/13/2023,365.169064
3/14/2023,364.626991
3/15/2023,376.812968
3/16/2023,374.16706
3/17/2023,372.710157
3/18/2023,0
3/19/2023,0
3/20/2023,372.501633
3/21/2023,363.381589
3/22/2023,360.268892
3/23/2023,353.66302
3/24/2023,359.981387
3/25/2023,0
3/26/2023,0
3/27/2023,357.653393
